Sim	LOG10_THETA	H_1	S_1	prS_1	D_1	FS_1	Pi_1
36	-3.67651	0.815789	9	9	1.11304	2.31659	3.35789
37	-1.63839	0.994737	981	981	-0.280685	1.70683	257.984
38	-1.22237	1	3464	3464	1.02451	1.78187	1214.84
39	-2.90193	0.957895	127	127	1.19926	3.5694	46.2
40	-3.93475	0.752632	4	4	-0.151636	-0.945388	1.06842
41	-1.95794	1	536	536	-0.406288	-1.02412	136.4
42	-1.75858	1	1854	1854	1.26166	1.14268	679.832
43	-1.35054	1	2744	2744	-0.0590144	1.27205	762.568
44	-2.7226	0.973684	196	196	1.81028	3.05709	79.3368
45	-2.37304	1	247	247	-0.813797	-3.00743	56.0053
46	-3.35428	0.936842	48	48	-0.569877	-0.418537	11.6105
47	-3.15929	0.931579	41	41	-0.873364	-1.28382	9.02632
48	-3.14801	0.884211	36	36	-0.920663	-1.83071	7.78947
49	-1.70626	1	1542	1542	0.508163	0.756533	487.332
50	-3.25426	0.931579	47	47	1.03316	2.55503	16.6579
51	-3.97781	0.631579	6	6	-0.538839	-1.25796	1.40526
52	-1.14518	1	6750	6750	-0.213323	2.2025	1805.91
53	-3.30411	0.942105	35	35	-0.5792	-0.70622	8.42105
54	-3.20475	0.963158	36	36	0.499415	-1.29478	11.4263
55	-2.97055	0.978947	86	86	-0.817609	-2.25712	19.4
56	-1.51099	1	1918	1918	0.973434	1.11956	666.132
57	-1.2668	1	3871	3871	1.17286	1.93058	1396.14
58	-1.46807	0.994737	2477	2477	-1.4748	2.7271	452.689
59	-1.18966	1	6061	6061	1.58296	2.47858	2352.85
60	-2.67304	0.942105	218	218	0.646808	7.28187	71.0105
61	-1.14389	1	3023	3023	0.186832	1.44366	890.042
62	-3.65219	0.889474	9	9	0.0927731	-2.26522	2.60526
63	-3.95049	0.768421	7	7	0.281648	-0.0770546	2.14211
64	-3.35834	0.852632	39	39	0.81792	4.97316	13.2526
65	-2.88072	0.968421	88	88	-0.909089	-0.387218	19.3
66	-3.85353	0.763158	8	8	0.861842	1.73027	2.83158
67	-3.94236	0.663158	5	5	-0.328821	-0.529757	1.25789
68	-2.29855	0.984211	314	314	-1.47732	-0.114241	57.1421
69	-3.34208	0.921053	25	25	-1.03743	-1.60376	5.15789
70	-3.33425	0.963158	35	35	0.0180811	-1.81846	9.91053
71	-3.2818	0.963158	54	54	-0.667119	-0.925853	12.7053
72	-2.24032	0.994737	417	417	1.4285	0.812631	157.747
73	-1.95303	0.984211	785	785	0.547876	5.34177	250.226
74	-2.21597	1	364	364	-0.988515	-2.1354	78.2947
75	-2.10178	0.989474	440	440	0.0752837	1.73014	126.258
76	-2.74635	0.963158	84	84	-1.3213	-1.91225	16.0316
77	-1.08359	1	3286	3286	0.0691441	1.50541	941.489
78	-1.48555	1	3176	3176	0.944578	1.67167	1096.79
79	-1.67338	0.994737	1543	1543	-1.66251	1.73772	262.437
80	-1.73855	1	1657	1657	0.95889	0.948447	573.884
81	-1.83706	0.978947	1497	1497	2.02671	8.64392	625.974
82	-3.01039	0.942105	69	69	0.457825	1.67146	21.6368
83	-3.6254	0.784211	10	10	-0.885099	-2.01813	2.10526
84	-3.25626	0.9	51	51	0.4935	2.4226	16.1368
85	-1.47724	1	2290	2290	-0.12008	1.05047	627
86	-1.91069	1	486	486	-0.572693	-1.28021	118.216
87	-2.18442	0.994737	357	357	0.2939	0.0892613	107.716
88	-1.80896	0.994737	1181	1181	-0.138574	2.10662	321.879
89	-3.15632	0.910526	46	46	0.736502	3.2458	15.3474
90	-1.63649	1	1519	1519	-0.0909682	0.574153	418.868
91	-2.38738	1	324	324	0.662775	-1.49097	105.842
92	-1.86275	0.989474	2675	2675	1.27471	7.09176	983.142
93	-3.20616	0.973684	45	45	0.0282843	-1.78789	12.7737
94	-2.5469	0.968421	213	213	0.114645	3.45807	61.6947
95	-2.40215	0.994737	414	414	0.153708	0.314612	120.989
96	-2.20508	1	428	428	-0.779965	-1.64286	98.1105
97	-2.85107	0.989474	91	91	-0.865229	-3.33257	20.2368
98	-1.3132	1	2447	2447	0.532503	1.29345	777.305
99	-2.25198	0.989474	415	415	0.381892	1.75611	127.674
100	-2.00878	0.994737	532	532	0.217405	0.812693	157.753
101	-1.95806	1	703	703	0.549952	-0.246409	224.195
102	-1.40076	0.994737	3024	3024	0.280289	4.02423	909.326
103	-2.69986	0.984211	125	125	-0.975859	-1.15352	26.9
104	-2.24222	1	275	275	-1.41777	-3.28047	51.1263
105	-1.00488	0.994737	9297	9297	2.12047	6.86328	3944.54
106	-1.87362	0.989474	1139	1139	-0.205195	3.8928	305.326
107	-1.71548	1	1500	1500	0.408216	0.697904	463.979
108	-1.63767	1	951	951	-0.596198	-0.210675	229.9
109	-2.02537	0.994737	597	597	0.308274	1.06162	180.679
110	-1.43347	1	3202	3202	0.802159	1.65006	1075.13
111	-3.82262	0.726316	4	4	-0.354342	-1.14172	0.989474
112	-1.44028	1	2665	2665	-0.0913306	1.23049	734.826
113	-3.39562	0.715789	14	14	0.181755	3.13382	4.14211
114	-2.75164	0.926316	50	50	-0.7766	1.96544	11.3737
115	-3.88594	0.694737	17	17	-2.05198	0.909716	2.16316
116	-3.79671	0.6	7	7	-0.358592	0.33768	1.75789
117	-1.43628	1	1799	1799	-0.231817	0.736118	479.047
118	-3.65634	0.805263	11	11	-0.00666745	0.102893	3.09474
119	-3.52523	0.926316	24	24	0.725465	0.708351	8.03684
120	-3.40029	0.915789	18	18	0.070272	-0.753855	5.16842
121	-2.95172	0.968421	57	57	-0.831556	-1.79097	12.7632
122	-2.76222	0.973684	41	41	-0.817048	-4.39047	9.18947
123	-1.40134	1	1871	1871	-0.806403	0.594603	425.953
124	-1.45274	1	4653	4653	2.37714	2.3375	2054.56
125	-3.58493	0.842105	7	7	-0.718179	-3.16738	1.54211
126	-2.37774	0.994737	284	284	-0.753103	-0.962701	65.5789
127	-3.76858	0.815789	10	10	-1.10057	-1.31014	1.93158
128	-1.1174	1	3968	3968	-1.30062	1.28542	771.742
129	-1.33853	1	2028	2028	0.356523	1.03803	620.232
130	-1.91547	1	818	818	0.701266	0.00756729	269.189
131	-2.9804	0.952632	88	88	0.326082	2.47336	26.7789
132	-1.64533	1	1141	1141	-0.364262	0.123808	293.653
133	-2.55673	0.989474	193	193	-1.28432	-1.20594	37.5684
134	-3.71547	0.673684	11	11	0.601386	2.60262	3.62632
135	-1.11325	1	5403	5403	0.615912	2.16735	1746.47
136	-3.4913	0.868421	8	8	-0.609198	-3.65727	1.84737
137	-1.4449	1	2221	2221	-0.339646	0.951367	575.332
138	-2.11827	0.989474	411	411	-0.0317181	1.51288	114.968
139	-3.83316	0.284211	6	6	-0.766944	0.586726	1.28421
140	-1.44573	1	2499	2499	-0.194194	1.12915	671.779
141	-3.79735	0.810526	11	11	0.998728	0.876006	3.97368
142	-3.69713	0.742105	17	17	-0.141494	0.496067	4.61053
143	-1.32292	1	4314	4314	1.35297	2.08039	1608.09
144	-2.46536	0.978947	154	154	-1.05667	-0.608662	32.3263
145	-2.5713	0.984211	182	182	-0.430267	0.355094	45.9789
146	-1.19423	0.994737	4535	4535	-0.282793	4.53852	1192.13
147	-1.2349	1	3378	3378	0.480499	1.63593	1061.21
148	-3.77081	0.915789	11	11	-0.572579	-4.61585	2.6
149	-2.07217	0.994737	383	383	-0.122432	0.0349983	104.789
150	-1.78787	1	1383	1383	0.81374	0.701854	465.511
151	-2.77019	0.989474	100	100	0.000366204	-2.08889	28.1895
152	-1.8422	0.994737	1203	1203	-2.01381	1.01501	176.126
153	-1.37997	1	2532	2532	0.401645	1.30022	782.037
154	-1.94224	0.994737	1152	1152	0.568799	2.35333	368.795
155	-2.38254	0.984211	368	368	0.556594	1.56451	117.563
156	-1.38202	1	2412	2412	-0.853183	0.880955	541.568
157	-2.70142	0.957895	39	39	-0.671818	-2.13579	9.13684
158	-2.59594	0.978947	169	169	-0.0466277	0.418982	47.1
159	-1.65916	1	1781	1781	0.131528	0.828193	517.758
160	-1.97195	0.994737	696	696	-1.8875	0.0888774	107.695
161	-2.28438	0.994737	319	319	-0.0193079	-0.283363	89.5
162	-2.02147	0.989474	1316	1316	0.763953	4.84864	438.558
163	-1.26414	0.994737	3460	3460	1.037	4.57692	1216.34
164	-2.89524	0.952632	118	118	0.490774	2.698	37.2211
165	-3.87618	0.831579	14	14	0.484462	1.26177	4.46842
166	-2.241	0.994737	447	447	-1.12504	-0.225313	92.0632
167	-1.35228	1	2199	2199	-0.573823	0.866717	535.021
168	-1.16623	1	2798	2798	-0.548506	1.15216	685.542
169	-3.77749	0.884211	22	22	0.711456	1.22693	7.35263
170	-3.49984	0.952632	33	33	0.0104351	-1.16729	9.32632
171	-2.24348	1	295	295	-0.941004	-2.62161	64.3737
172	-2.72157	0.942105	221	221	-0.00200359	3.49368	62.2632
173	-3.01541	0.989474	89	89	0.0727168	-2.43131	25.5316
174	-3.69443	0.894737	9	9	-0.128405	-1.51528	2.44211
175	-1.10182	1	4849	4849	1.48467	2.22803	1850.39
176	-1.31904	0.994737	1998	1998	-0.344679	2.97059	516.884
177	-2.62989	0.994737	191	191	-0.518147	-1.79996	47.1158
178	-3.97709	0.873684	11	11	-0.524416	-2.21279	2.64211
179	-2.36564	0.989474	380	380	1.27095	1.96714	139.726
180	-2.87045	0.973684	72	72	-0.200766	-1.26423	19.2947
181	-1.12133	1	2900	2900	-0.367759	1.24707	745.758
182	-3.17297	0.947368	95	95	2.09817	4.26942	40.4684
183	-3.97128	0.626316	16	16	0.104605	5.19033	4.63684
184	-2.92344	0.973684	47	47	-1.76062	-5.60696	7.43684
185	-2.60027	0.978947	149	149	-0.696669	0.532811	34.9263
186	-2.57008	0.989474	99	99	-0.695658	-2.78841	23.1789
187	-1.17755	0.994737	3631	3631	-0.172275	4.16861	981.442
188	-3.02342	0.963158	50	50	-0.336273	-2.76536	12.9158
189	-3.5795	0.642105	9	9	-0.727725	-1.20346	2
190	-2.91806	0.973684	56	56	-0.777731	-2.82119	12.7474
191	-3.40775	0.921053	12	12	-0.556682	-2.95195	2.85789
192	-3.53776	0.736842	10	10	-0.55862	-0.69402	2.36842
193	-2.09811	1	398	398	0.350801	-1.22812	121.611
194	-2.98738	0.968421	55	55	-0.519075	-1.58188	13.5105
195	-3.2597	0.831579	21	21	0.0384801	0.522886	5.97895
196	-1.22889	1	4181	4181	1.0077	1.97924	1461.54
197	-1.48118	0.994737	1965	1965	0.193612	3.18153	579.447
198	-1.48834	1	3449	3449	-0.566087	1.38103	840.989
199	-2.00843	0.994737	714	714	0.72394	1.54654	236.068
200	-1.20543	1	2139	2139	-0.648721	0.809591	509.653
201	-3.40533	0.7	16	16	-1.25738	-0.868574	2.98421
202	-3.42168	0.752632	23	23	-0.545601	0.286814	5.56316
203	-3.58968	0.794737	15	15	0.862109	0.0779473	5.21579
204	-1.12621	1	2772	2772	0.0259923	1.30612	786.184
205	-2.47033	0.994737	260	260	0.306923	-0.554896	78.6895
206	-2.62246	0.984211	110	110	-0.630302	-1.22848	26.2579
207	-3.35152	0.836842	48	48	0.422502	3.12515	14.9526
208	-1.99875	1	977	977	0.829687	0.27552	329.937
209	-2.37961	0.994737	311	311	0.337703	-0.166391	94.7632
210	-2.83579	0.984211	67	67	0.128961	-2.24103	19.4842
211	-2.18761	0.994737	441	441	0.397791	0.538461	136.142
212	-3.26715	0.947368	33	33	0.251371	-0.960101	9.89474
213	-1.20577	1	3368	3368	-0.454609	1.38822	846.463
214	-3.89773	0.794737	8	8	1.81369	2.43528	3.46842
215	-3.38484	0.915789	36	36	0.719311	1.28307	11.9895
216	-2.49421	0.989474	278	278	1.59533	1.37653	108.374
217	-3.98271	0.684211	5	5	0.699596	1.36939	1.73158
218	-2.03184	0.994737	793	793	0.849771	1.7816	268.895
219	-1.9325	1	1266	1266	1.02071	0.644285	443.763
220	-1.64979	1	1024	1024	-0.616997	-0.115116	246.121
221	-2.00061	1	497	497	-1.18331	-1.59547	100.426
222	-3.19236	0.968421	24	24	-0.766443	-6.04736	5.42105
223	-3.78259	0.847368	9	9	0.0713688	-0.428571	2.58947
224	-2.03777	1	681	681	1.49346	-0.0371945	260.463
225	-3.68296	0.568421	12	12	-1.96985	-0.0336664	1.52632
226	-3.02634	0.942105	66	66	0.875449	1.83117	22.6105
227	-1.36222	1	1837	1837	-1.7185	0.176116	305.574
228	-2.90078	0.957895	38	38	-0.170065	-0.837692	10.2526
229	-2.25868	0.989474	595	595	1.08491	2.96133	211.216
230	-3.41568	0.884211	27	27	-1.12238	-1.42607	5.41579
231	-3.10251	0.957895	61	61	0.578434	1.33045	19.6474
232	-3.33156	0.868421	29	29	1.10272	2.59911	10.4789
233	-3.59627	0.968421	42	42	-0.82081	-3.04374	9.40526
234	-2.14513	1	798	798	-0.0164637	-0.247348	224.047
235	-2.11767	0.994737	349	349	-0.189888	-0.185103	93.8947
236	-2.77865	0.968421	154	154	1.6599	3.40259	60.8158
237	-3.60127	0.873684	15	15	-0.2266	0.0218201	3.96842
238	-3.02086	0.973684	55	55	-0.154318	-2.18533	14.9105
239	-2.81417	0.931579	74	74	0.12957	2.61248	21.5211
240	-3.3045	0.952632	27	27	-1.61494	-4.3755	4.45263
241	-3.07	0.963158	53	53	-0.212339	-1.41589	14.1526
242	-1.31436	1	3637	3637	1.8288	1.98683	1472.03
243	-3.88589	0.778947	9	9	1.45551	2.586	3.61053
244	-1.26659	1	4743	4743	-1.24359	1.50447	940.684
245	-2.72491	0.989474	152	152	-1.41551	-2.08889	28.1895
246	-1.92513	0.994737	876	876	-0.93625	1.16957	191.711
247	-1.51983	1	1150	1150	-1.15765	-0.182165	234.589
248	-3.50303	0.9	19	19	-0.570683	-1.18855	4.54737
249	-1.10187	1	8368	8368	0.044847	2.49218	2383.89
250	-3.19164	0.957895	44	44	-1.28641	-3.56569	8.41579
251	-3.23833	0.926316	29	29	0.949107	-0.0782097	10.1579
252	-3.97141	0.757895	5	5	-0.351674	-0.551154	1.24737
253	-2.08965	0.994737	1451	1451	0.0466239	2.56181	413.542
254	-1.96404	1	1063	1063	1.46945	0.53207	404.726
255	-2.33113	0.989474	333	333	-0.281528	0.8854	87.5263
256	-3.54059	0.852632	19	19	-0.693331	-1.3239	4.37368
257	-3.37558	0.942105	29	29	0.140764	-0.687136	8.46842
258	-3.59429	0.842105	11	11	1.04087	0.90568	4.01053
259	-1.96888	0.984211	645	645	0.338138	2.78388	196.5
260	-1.6856	1	1560	1560	0.902213	0.865252	534.353
261	-2.81744	0.957895	77	77	-0.273004	-0.236098	20.2526
262	-2.94739	0.957895	84	84	-1.71606	-1.51929	13.7474
263	-1.70791	0.994737	1322	1322	-0.315804	2.22993	344.553
264	-3.13229	0.984211	103	103	0.259947	-0.741756	30.8684
265	-1.5865	0.989474	1671	1671	2.02847	6.12799	698.895
266	-2.94517	0.973684	55	55	-0.819381	-2.95521	12.3579
267	-3.719	0.773684	19	19	0.403069	1.33557	5.92632
268	-1.858	0.994737	1797	1797	1.63399	3.54331	703.916
269	-3.42165	0.905263	31	31	0.264472	1.22513	9.32632
270	-3.27113	0.915789	28	28	-0.212185	-0.323616	7.46316
271	-3.03663	0.947368	72	72	0.690114	2.01007	23.7316
272	-3.10847	0.905263	40	40	-2.05544	-2.30653	5.45789
273	-1.29509	1	2736	2736	0.793357	1.47656	917.058
274	-1.84609	0.994737	773	773	0.28614	1.52119	232.779
275	-3.99563	0.489474	4	4	-1.25976	-1.02441	0.636842
276	-3.76461	0.773684	28	28	1.63004	5.42336	11.1895
277	-3.92972	0.863158	13	13	0.910639	0.47771	4.58421
278	-1.92821	1	1033	1033	0.0919584	0.141255	297.563
279	-1.26864	1	2552	2552	-0.569369	1.04071	621.684
280	-2.42636	1	208	208	-0.540544	-3.28812	51
281	-1.80746	0.994737	1008	1008	0.639012	2.13779	327.468
282	-3.22567	0.805263	37	37	-1.75529	-1.17245	5.81579
283	-3.85864	0.684211	8	8	-0.475467	-0.358837	1.93684
284	-3.35614	0.931579	25	25	-1.18775	-3.89264	4.88421
285	-1.00805	1	4400	4400	-0.029825	1.79642	1231.41
286	-2.46296	0.968421	232	232	0.0951182	2.491	66.8895
287	-2.63238	0.947368	173	173	-0.374969	1.2274	44.3526
288	-1.93475	0.989474	774	774	1.11693	3.63674	276.379
289	-1.6992	1	1428	1428	-1.39544	0.00412504	268.505
290	-1.31607	1	1888	1888	0.348374	0.953486	576.384
291	-2.52238	0.984211	253	253	-0.393615	1.25367	64.5684
292	-2.89054	0.973684	80	80	-1.29862	-1.12684	15.3842
293	-1.98429	1	598	598	-0.669715	-0.960315	141.568
294	-2.0917	0.968421	471	471	-0.130617	3.19707	128.611
295	-1.55058	1	1401	1401	-0.548278	0.326055	343.242
296	-2.24925	1	328	328	-1.27529	-2.62962	64.1789
297	-1.00316	1	5563	5563	1.05656	2.2898	1962.85
298	-3.11389	0.978947	46	46	-0.806627	-5.18332	10.3579
299	-1.00618	1	4848	4848	0.686085	2.0684	1589.94
300	-1.09079	1	5572	5572	-0.119117	2.02499	1525.99
301	-3.597	0.815789	17	17	0.70898	2.13766	5.7
302	-2.95947	0.968421	46	46	-0.617806	-2.38263	10.9684
303	-3.18964	0.963158	31	31	-1.26622	-4.12769	5.92105
304	-1.89442	1	829	829	-0.907702	-0.546326	183.011
305	-3.4156	0.947368	36	36	-1.32141	-2.39561	6.76316
306	-1.82926	1	1075	1075	-1.32029	-0.358181	207.516
307	-3.0116	0.915789	76	76	-0.151606	3.50987	20.6263
308	-3.235	0.789474	50	50	1.26874	5.53796	18.5368
309	-1.94967	1	476	476	-1.23714	-1.72148	94.4474
310	-2.64038	0.994737	242	242	0.26342	-0.733454	72.5316
311	-1.89584	1	1007	1007	-0.514501	-0.0991284	248.979
312	-2.25924	0.989474	273	273	-0.0198179	0.577463	76.5842
313	-3.70108	0.194737	9	9	-2.21889	0.981128	0.9
314	-3.73387	0.810526	9	9	1.66956	1.64026	3.76842
315	-1.78395	1	1072	1072	-1.31838	-0.361305	207.074
316	-2.13806	1	775	775	1.06289	0.0310445	273.916
317	-3.1319	0.984211	68	68	-1.23297	-5.36715	13.3579
318	-1.95769	1	673	673	0.754522	-0.248254	223.905
319	-1.55851	1	1200	1200	-0.908734	-0.0142538	264.889
320	-1.86724	0.978947	835	835	0.966559	5.84684	289.695
321	-1.04267	1	4353	4353	0.372564	1.8836	1335.93
322	-1.32434	1	1381	1381	-1.83161	-0.279002	219.153
323	-3.06014	0.931579	34	34	0.551202	0.954049	10.9211
324	-3.81237	0.805263	7	7	-0.981291	-3.60122	1.38421
325	-1.27196	1	3245	3245	-0.401046	1.36274	827.226
326	-1.60943	1	2200	2200	0.340797	1.127	670.505
327	-2.35093	0.984211	445	445	1.64675	4.15427	174.879
328	-1.12455	0.994737	4381	4381	1.35849	5.14463	1634.68
329	-1.16669	1	3921	3921	-0.773347	1.45774	901.495
330	-1.25099	1	3229	3229	-1.34816	1.03326	617.663
331	-3.63599	0.894737	20	20	-0.387052	-0.0177995	5.06316
332	-2.96023	0.957895	71	71	1.54429	1.61139	27.6
333	-3.89321	0.836842	28	28	-1.51319	1.5304	4.83158
334	-1.97958	0.984211	783	783	-1.17975	3.84161	158.505
335	-3.41025	0.926316	20	20	0.208934	-1.96416	5.94737
336	-3.92348	0.873684	17	17	1.2965	2.63532	6.45263
337	-2.98067	0.963158	124	124	1.44685	3.66106	47.2105
338	-2.90592	0.963158	120	120	-0.183238	1.20951	32.3211
339	-2.87033	0.952632	105	105	1.37321	1.85679	39.4789
340	-2.62089	0.978947	126	126	0.0782969	0.635407	36.1895
341	-2.99768	0.931579	48	48	0.23184	1.94196	14.3105
342	-1.17271	0.994737	5061	5061	1.10486	5.33313	1802.16
343	-2.10426	0.984211	200	200	-1.05295	-0.892841	42.0789
344	-2.9115	0.989474	71	71	0.10346	-3.2742	20.5211
345	-1.48698	1	3199	3199	1.13014	1.71778	1144.62
346	-3.23889	0.921053	49	49	0.845472	3.655	16.7158
347	-2.0099	0.989474	1138	1138	1.50268	4.83174	435.811
348	-2.32496	0.963158	305	305	1.19382	7.88485	110.595
349	-3.8584	0.836842	13	13	0.259371	-0.0115213	3.92632
350	-3.12931	0.752632	19	19	-0.470334	-0.26439	4.68947
351	-3.15767	0.847368	36	36	-1.55775	-1.82976	6.15789
352	-3.63683	0.8	15	15	0.085772	1.15358	4.32632
353	-1.95184	0.994737	1147	1147	0.517374	2.32569	363.226
354	-3.40978	0.831579	25	25	0.306764	3.36137	7.60526
355	-2.24628	0.994737	424	424	0.777527	0.614278	141.763
356	-3.81377	0.589474	19	19	0.737564	9.45615	6.4
357	-2.09229	0.994737	446	446	0.883783	0.747782	152.311
358	-3.73228	0.9	18	18	0.097591	-1.5702	5.20526
359	-3.46436	0.894737	18	18	-0.175599	0.650816	4.83684
360	-3.8422	0.442105	4	4	1.64569	4.83268	1.76842
361	-3.13179	0.831579	46	46	0.816263	3.32398	15.6053
362	-2.84705	0.984211	109	109	0.171656	-0.637263	32.0053
363	-3.04933	0.952632	79	79	-1.09875	0.692977	16.2789
364	-1.05513	1	6017	6017	-0.917804	1.87489	1325.07
365	-1.73902	1	1694	1694	0.632576	0.898007	549.532
366	-2.90358	0.978947	76	76	-0.763253	-1.61444	17.4158
367	-1.66242	0.978947	1100	1100	-0.568991	5.57643	267.947
368	-2.16205	0.984211	596	596	0.133799	4.12644	173.368
369	-1.06231	1	5864	5864	2.21148	2.55135	2523.95
370	-3.08049	0.931579	59	59	-0.942894	1.50852	12.7579
371	-2.19943	0.989474	563	563	-1.58582	1.157	98.5105
372	-2.12254	0.968421	296	296	-1.01422	1.19352	63.1263
373	-3.83571	0.778947	7	7	1.23762	1.5955	2.71579
374	-1.7351	1	1250	1250	-1.62148	-0.299855	216.005
375	-1.61091	1	2700	2700	-0.957414	0.975273	587.337
376	-1.29558	1	4099	4099	0.737185	1.90138	1358.38
377	-1.89446	1	983	983	-0.815742	-0.253301	223.116
378	-2.8432	0.963158	86	86	0.080228	0.378283	24.7158
379	-1.24125	1	3913	3913	-1.20603	1.30574	785.911
380	-2.1341	0.994737	344	344	-0.492686	-0.378201	85.5105
381	-3.39252	0.947368	26	26	-0.00957791	-1.19752	7.31053
382	-1.45767	0.994737	1441	1441	0.353795	2.67698	440.458
383	-2.26132	0.989474	264	264	-1.15389	-0.262145	53.7895
384	-2.07941	0.994737	420	420	-0.562587	-0.0100107	102.437
385	-2.44778	0.968421	274	274	1.31085	5.55692	101.542
386	-3.31874	0.884211	31	31	-0.0833059	2.76413	8.55263
387	-2.68908	0.984211	98	98	0.0247155	-1.05393	27.7895
388	-3.24692	0.821053	25	25	-0.7975	-0.490492	5.59474
389	-2.45164	0.968421	185	185	-0.687039	2.18503	43.5105
390	-3.82028	0.868421	22	22	-0.937232	-0.268001	4.68421
391	-2.77856	0.942105	135	135	-1.261	2.42285	26.4368
392	-2.55043	0.984211	210	210	-1.06559	0.238694	44.0105
393	-1.05857	1	3417	3417	0.618653	1.67991	1105.18
394	-2.8745	0.973684	78	78	-0.474475	-0.365814	19.4316
395	-1.89881	0.989474	1004	1004	0.612356	4.04983	324.368
396	-2.71633	0.989474	117	117	-0.235424	-1.77053	31.0947
397	-1.44144	1	3169	3169	1.42656	1.76597	1197
398	-2.73168	0.984211	111	111	-1.07112	-1.63517	23.1474
399	-1.92244	1	1423	1423	0.368823	0.624022	436.395
400	-2.69756	0.978947	87	87	-1.38466	-1.86675	16.2316
401	-2.44115	0.973684	197	197	0.544083	2.28882	62.8053
402	-3.52614	0.731579	18	18	-0.55026	3.32381	4.33158
403	-1.5266	0.994737	1619	1619	-0.484031	2.51769	403.658
404	-2.62344	0.973684	100	100	-0.359413	-0.36108	25.7211
405	-3.61965	0.773684	21	21	0.554251	2.84481	6.77895
406	-1.951	1	1445	1445	1.5639	0.918476	559.268
407	-3.57789	0.942105	22	22	-0.16004	-1.96761	5.94211
408	-3.43979	0.968421	27	27	-1.20851	-6.25908	5.24737
409	-1.07912	1	6482	6482	-0.439062	2.0985	1635.92
410	-2.46418	0.994737	393	393	0.659059	0.425914	128.263
411	-3.27981	0.947368	32	32	0.305953	-0.224107	9.72105
412	-2.45024	0.994737	204	204	-0.500005	-1.60742	50.5789
413	-2.39835	0.994737	360	360	1.78589	0.655186	144.905
414	-1.59179	1	1191	1191	-0.996457	-0.0615152	255.874
415	-1.01044	1	4476	4476	-0.120132	1.79128	1225.53
416	-1.33448	1	3589	3589	0.0640254	1.6004	1027.07
417	-3.54918	0.857895	17	17	-1.40693	-1.76436	2.98947
418	-2.27283	1	295	295	-0.364447	-2.20924	75.8789
419	-1.00054	1	5208	5208	-0.0264277	1.9772	1458.73
420	-1.14312	1	3328	3328	-0.670305	1.30895	788.179
421	-2.3039	0.984211	413	413	0.252921	3.07436	123.463
422	-3.00238	0.968421	50	50	-0.587244	-2.01336	12.0368
423	-2.67999	0.984211	299	299	2.11086	3.15835	126.968
424	-2.46426	0.994737	238	238	-0.737904	-1.38128	55.1842
425	-1.84265	1	2001	2001	0.434579	1.04216	622.474
426	-1.4897	1	2234	2234	0.196354	1.10763	659.179
427	-1.57506	0.994737	949	949	-1.03552	1.25874	201.358
428	-1.54331	0.989474	1526	1526	0.928948	5.33905	525.453
429	-3.01709	0.947368	89	89	-1.23487	0.126506	17.5263
430	-1.11425	1	5559	5559	0.941559	2.26589	1918.49
