Sim	LOG10_THETA_NOW	LOG10_OLD_SIZE_RELATIVE	LOG10_T_BOT	H_1	S_1	prS_1	D_1	FS_1	Pi_1
146	-1.68713	1.2166	2.73864	1	11985	11985	1.06322	3.08292	4233.96
147	-2.63691	-0.959234	2.5862	1	132	132	-0.277641	-4.65678	34.7053
148	-2.41753	-0.0227891	1.83845	1	226	226	-0.612288	-3.09699	54.3211
149	-1.27127	1.66536	1.20036	1	19793	19793	4.15611	3.40282e+38	11103.1
150	-1.56359	-0.453464	1.69656	1	588	588	0.697863	-0.462655	193.395
151	-2.93016	-0.87634	1.66	0.968421	13	13	-0.991062	-13.9073	2.66316
152	-3.72972	1.29991	2.71737	0.984211	26	26	1.46507	-5.33265	10.0947
153	-2.99226	1.21476	2.21287	1	943	943	0.201887	0.0538856	278.616
154	-1.04612	1.01239	1.86732	1	17597	17597	2.50123	3.71839	7915.73
155	-2.21047	-1.64215	2.24079	1	52	52	-2.0839	-15.6504	7.07895
156	-1.30816	-0.191033	1.58215	1	2755	2755	0.164673	1.33529	807.037
157	-3.88612	1.12275	2.63965	1	109	109	-0.730052	-6.09767	25.2737
158	-2.281	-0.51603	2.80497	1	121	121	-0.685433	-5.52478	28.4368
159	-2.13473	1.44899	1.32904	1	8546	8546	1.25615	2.77334	3129.84
160	-1.39915	-1.53511	1.04141	1	94	94	-0.00749076	-5.87169	26.4474
161	-2.42753	0.814558	2.8142	1	1540	1540	-0.108417	0.585704	422.853
162	-3.97254	1.86793	2.237	1	493	493	-0.258129	-1.10305	130.379
163	-3.32412	-0.722028	2.98463	1	35	35	-0.492668	-13.7197	8.63684
164	-2.84659	1.90915	1.90825	1	6445	6445	-0.0240904	2.20269	1806.22
165	-1.94775	-0.128982	2.85115	1	757	757	-0.291086	-0.423453	198.537
166	-3.45465	0.969843	1.63042	1	256	256	0.611388	-2.00821	82.7579
167	-1.49395	1.61119	1.15506	1	19334	19334	3.30006	3.92727	9734.19
168	-3.24287	-0.13329	2.95602	1	32	32	-0.25666	-13.9443	8.43158
169	-3.38212	-0.796399	2.80993	0.6	2	2	0.544835	-0.830709	0.694737
170	-1.9936	-0.744847	2.16767	1	546	546	-0.674206	-1.12072	129.084
171	-3.84039	-0.591727	2.29485	0.394737	1	1	0.722614	0.976063	0.394737
172	-1.6644	-1.3599	1.6131	1	490	490	-1.57489	-1.92076	86.0684
173	-3.23759	-0.953108	2.57884	0.194737	2	2	-1.51284	-1.86305	0.2
174	-3.12927	0.216109	2.0923	1	64	64	-0.455531	-8.77833	16.0158
175	-2.13106	0.42479	1.20838	1	1190	1190	0.0265809	0.304745	337.553
176	-1.68329	-0.781152	2.28292	1	221	221	0.277199	-2.53865	66.4474
177	-3.62245	0.560983	2.47409	1	60	60	-0.697672	-9.7211	14
178	-2.05665	-0.823602	1.75507	1	91	91	-0.445454	-6.62162	22.8632
179	-1.18812	0.655402	1.78472	1	12685	12685	1.28561	3.18305	4670.69
180	-1.02366	1.04472	1.5784	1	18949	18949	2.14029	3.73723	8064.59
181	-2.94469	-0.114677	1.29637	1	72	72	-0.264174	-7.69026	18.9789
182	-2.38052	0.693187	2.129	1	1299	1299	0.47607	0.541189	407.742
183	-1.64632	-0.941123	2.86351	1	323	323	-1.01341	-2.44532	68.9158
184	-2.86557	-0.841065	2.35134	0.978947	15	15	-0.667597	-13.8439	3.46316
185	-2.0441	1.93431	1.77234	1	18172	18172	2.54907	3.75809	8232.75
186	-3.71043	0.181479	2.92987	0.957895	15	15	0.407332	-7.01213	4.69474
187	-2.39282	-0.727635	1.28412	1	68	68	-0.244364	-8.01226	18.0158
188	-3.207	1.49141	1.11696	1	1114	1114	0.501653	0.356586	351.6
189	-3.97399	1.35788	2.68096	0.568421	2	2	0.282154	0.236982	0.631579
190	-2.31126	-0.593096	1.90036	1	78	78	-0.445145	-7.49951	19.5895
191	-3.76519	1.01387	1.52322	1	96	96	0.111532	-5.63217	27.7947
192	-1.62361	1.32865	2.94471	1	1486	1486	0.1233	0.609433	431.179
193	-3.86641	-1.70292	2.70011	0.1	1	1	-1.16439	-0.879302	0.1
194	-1.97809	-0.334607	1.58657	1	305	305	-0.746697	-2.38585	70.5684
195	-3.69731	-0.765129	2.3987	0.747368	4	4	0.0105285	-1.88768	1.13158
196	-1.11187	-1.14891	1.66876	1	332	332	-0.371134	-1.94181	85.2526
197	-2.52281	-1.28684	1.23307	0.978947	12	12	-0.925335	-14.497	2.51053
198	-2.10098	1.37403	2.35922	1	6714	6714	1.34546	2.54115	2499.22
199	-1.81816	-0.752397	1.49294	1	192	192	-0.740131	-3.73342	44.4684
200	-2.35673	0.194347	1.48488	1	456	456	-0.109689	-1.17596	125.158
201	-3.84622	1.33336	2.12997	1	201	201	0.071907	-2.92488	57.6368
202	-3.80291	1.38284	2.34858	1	53	53	1.08363	-7.6987	18.9526
203	-2.37059	0.648761	1.89276	1	1020	1020	-0.19112	0.033369	274.389
204	-3.26029	0.42669	1.79732	1	66	66	0.244178	-7.45967	19.7211
205	-3.57654	1.79884	2.09132	1	884	884	0.0562709	-0.0796394	252.521
206	-2.42615	-0.304918	2.60418	1	327	327	0.317269	-1.62068	99.1842
207	-2.61869	-1.93314	1.21797	0.905263	15	15	-1.96762	-9.7894	1.97368
208	-1.99877	-0.209687	1.85321	1	457	457	0.205397	-1.04012	135.147
209	-1.32201	-1.85137	2.03266	1	62	62	0.215701	-7.87878	18.4053
210	-2.35855	0.910829	1.18747	1	2151	2151	0.404367	1.11722	664.763
211	-3.23461	-1.3327	1.17469	0.778947	4	4	-0.0705538	-1.97222	1.1
212	-1.92177	-0.976648	2.85038	1	90	90	-0.03569	-6.12303	25.1474
213	-3.96566	-1.08098	1.87754	0.678947	4	4	-0.381369	-2.32705	0.978947
214	-3.56345	1.17945	2.24931	1	172	172	0.570821	-3.05191	55.1579
215	-1.03111	0.111298	2.09873	1	6309	6309	0.690396	2.34575	2070.88
216	-2.40406	1.78633	1.8988	1	11319	11319	1.02009	3.01609	3965.91
217	-3.43584	-0.881782	1.31845	0.542105	2	2	0.172703	0.153075	0.605263
218	-2.67513	-1.42871	1.43192	0.621053	3	3	-0.393412	-0.747874	0.721053
219	-3.18958	-0.736377	1.17169	0.952632	12	12	-0.255056	-8.15046	3.14211
220	-1.37785	-1.97109	2.67157	1	1588	1588	-0.526186	0.490857	391.426
221	-3.39295	0.324642	1.23542	1	43	43	0.173822	-10.4818	12.6474
222	-1.5843	-0.0799117	1.88653	1	1309	1309	-0.277613	0.330805	344.526
223	-1.96756	-1.05289	1.77585	1	142	142	-1.12306	-5.40979	29.1526
224	-2.08965	1.80366	1.07834	1	15003	15003	1.24204	3.3457	5480.26
225	-2.12031	1.08576	2.2138	1	4802	4802	-0.042735	1.88665	1339.75
226	-1.15033	1.67186	1.35132	1	19551	19551	3.86142	3.40282e+38	10580.4
227	-1.24728	1.43045	1.05561	1	19321	19321	3.50853	3.95427	9998.12
228	-2.78159	-1.42148	2.09273	1	69	69	-1.19863	-9.86842	13.7211
229	-3.12902	-0.749643	1.28811	0.784211	7	7	-0.209495	-1.44793	1.84737
230	-3.60845	-0.00606951	1.29777	0.989474	16	16	0.677158	-12.2425	5.33158
231	-3.58323	-0.448866	2.66945	0.678947	5	5	-1.03729	-1.29684	0.931579
232	-1.50147	-0.808018	1.18896	1	641	641	-0.910342	-0.962785	141.363
233	-1.26336	-1.08706	2.69249	1	2898	2898	0.131975	1.3831	842.558
234	-1.58121	0.764608	2.31197	1	8580	8580	0.468934	2.61673	2688.66
235	-1.72426	1.22049	2.32236	1	10645	10645	1.33774	3.01375	3956.85
236	-2.35073	1.77913	2.05719	1	12209	12209	0.958421	3.08128	4227.17
237	-3.60175	-1.99943	2.60412	0.905263	11	11	-1.31308	-9.87401	1.95263
238	-3.66361	0.964699	2.06417	1	133	133	-0.449278	-4.81325	33.4105
239	-2.72553	-0.485344	1.20729	1	55	55	0.0938802	-8.84305	15.8632
240	-3.28848	-0.0619592	1.52317	1	38	38	0.267308	-11.2806	11.4316
241	-2.73319	-1.10927	2.48991	0.836842	15	15	-1.84818	-5.76768	2.11053
242	-2.30552	0.406318	2.52347	1	863	863	0.243332	-0.0534211	257.389
243	-3.62979	-1.42436	1.65692	0.857895	10	10	-1.1071	-3.47589	1.92632
244	-1.33156	-0.369165	2.21368	1	1527	1527	0.0735656	0.628384	437.968
245	-2.44691	-0.175753	2.4584	1	176	176	-0.19343	-3.5279	47.2947
246	-1.41337	0.439872	2.30126	1	5750	5750	0.495922	2.20621	1812.29
247	-1.86163	0.494246	1.12262	1	2730	2730	0.257266	1.34852	816.7
248	-3.01656	-1.78237	2.99369	1	78	78	-0.0873142	-6.95632	21.5158
249	-3.39519	0.0690787	1.4426	1	37	37	-0.681944	-13.7197	8.63684
250	-2.2332	-1.51645	2.05182	1	71	71	-1.89441	-11.8222	10.7053
251	-1.67031	-0.616014	1.76586	1	512	512	-0.637706	-1.21781	122.3
252	-1.03203	1.68847	2.54839	1	19981	19981	5.0593	3.40282e+38	12420.4
253	-1.22922	-0.079668	1.35173	1	3195	3195	0.35942	1.54674	977.732
254	-1.90747	-1.17129	1.85084	1	61	61	-1.40456	-11.4206	11.2368
255	-3.007	-1.08926	1.68706	0.621053	5	5	-0.877309	-1.10114	1.00526
256	-3.76814	0.563383	2.19498	1	41	41	-0.350178	-11.9515	10.5421
257	-3.2747	1.92985	2.0131	1	2857	2857	-0.0234203	1.32666	800.805
258	-2.02712	0.738883	2.48701	1	3307	3307	0.475493	1.6117	1037.79
259	-1.51657	-1.00353	2.37269	1	236	236	-0.0033018	-2.53783	66.4684
260	-2.27452	-0.226198	1.57474	1	244	244	-0.249767	-2.61041	64.6474
261	-2.9061	1.33449	2.96857	1	434	434	-0.531371	-1.47391	106.768
262	-1.15706	-0.575997	2.20822	1	1428	1428	0.344965	0.621915	435.637
263	-2.36493	-1.04466	1.16476	0.994737	25	25	0.269184	-11.7581	7.53684
264	-2.07939	1.36476	1.06612	1	8783	8783	0.670849	2.68459	2871.38
265	-2.7372	-1.46475	1.60596	0.857895	5	5	0.459632	-4.24627	1.62105
266	-1.31997	-0.677029	2.27245	1	889	889	0.409906	0.0368977	275.111
267	-3.0448	-0.631024	2.42645	0.994737	29	29	-1.13848	-14.2394	5.79474
268	-2.46421	-1.72232	2.45377	1	38	38	-2.07186	-19.1298	5.12632
269	-1.3274	-1.58122	2.98981	1	343	343	-2.07215	-3.43643	48.6526
270	-2.00937	1.02521	1.41742	1	5441	5441	0.736824	2.20078	1802.95
271	-2.57729	-0.509047	1.70929	1	73	73	-0.271665	-7.6184	19.2053
272	-3.86241	-0.34896	1.38317	0.947368	6	6	0.64136	-7.667	2.03158
273	-2.63612	-0.623605	2.72387	1	30	30	-0.640788	-15.6579	7.07368
274	-2.08462	-1.12821	2.27549	1	57	57	-0.0724017	-8.87919	15.7789
275	-3.10959	1.51836	2.90548	1	501	501	0.98509	-0.619914	174.5
276	-3.73865	1.39124	1.67263	1	249	249	-0.269066	-2.57014	65.6474
277	-3.5564	0.838572	1.57111	1	101	101	-0.349513	-5.94679	26.0474
278	-3.59254	0.4812	1.4587	1	49	49	-0.463047	-10.748	12.2211
279	-3.64498	1.83553	1.06282	1	997	997	0.156617	0.114221	291.532
280	-3.6002	-0.326889	2.36131	0.947368	12	12	-0.802451	-9.53459	2.62632
281	-1.01317	1.33455	2.11838	1	17688	17688	1.85531	3.62102	7189.44
282	-2.8918	1.5163	2.1091	1	2061	2061	1.35563	1.28105	768.732
283	-2.62684	-0.858949	1.75597	1	41	41	-1.26939	-14.5906	7.87895
284	-3.02996	0.353633	1.48977	1	157	157	0.392361	-3.44998	48.4474
285	-3.12654	-0.416937	1.02891	1	17	17	-0.593437	-21.9735	4.03158
286	-1.66081	1.09323	2.54794	1	2232	2232	-0.0106399	1.05145	627.537
287	-1.11671	-1.88681	1.15854	1	320	320	-1.80606	-3.28047	51.1263
288	-2.1474	1.03468	2.4845	1	559	559	0.0931112	-0.746756	161.074
289	-1.68905	0.669911	2.41827	1	5928	5928	0.416826	2.22036	1836.89
290	-2.27953	0.991629	2.80596	1	330	330	-0.276835	-1.90109	86.8421
291	-2.38545	1.55917	1.24273	1	7579	7579	0.587974	2.51443	2435.59
292	-3.5546	-0.175834	1.68874	0.994737	17	17	-0.21134	-16.8376	4.52105
293	-3.35196	-1.98756	1.10799	0	0	0	0	0	0
294	-1.82117	1.68794	1.50671	1	17310	17310	1.68864	3.57087	6842.07
295	-2.96833	1.56685	2.32053	1	1330	1330	0.355597	0.538031	406.695
296	-2.20272	1.22658	2.10948	1	5490	5490	0.176401	2.08329	1612.52
297	-1.78849	-0.0472262	1.40397	1	1031	1031	0.00603609	0.111925	291.026
298	-1.96108	1.15538	2.89357	1	774	774	-0.439163	-0.448128	195.279
299	-1.06115	-1.95462	2.45146	1	159	159	-1.8179	-6.1241	25.1421
300	-2.97198	1.40795	2.41548	1	1514	1514	0.700485	0.782387	498.063
301	-1.34199	-1.24977	2.91453	1	230	230	-0.292586	-2.79968	60.2684
302	-2.6612	1.74243	1.43115	1	6779	6779	0.0322402	2.26969	1925.47
303	-1.39881	-1.11624	1.74301	1	279	279	0.151391	-2.04293	81.5
304	-2.9798	-1.54347	2.1828	0.736842	4	4	-0.367856	-2.31048	0.984211
305	-2.39682	-1.55992	1.84547	1	56	56	-1.79657	-13.5797	8.76842
306	-3.37397	-0.030472	2.01655	1	27	27	0.616402	-13.5301	8.81579
307	-1.47104	1.46575	2.53802	1	13336	13336	1.58844	3.28873	5181.6
308	-1.22005	-0.729003	1.25662	1	1636	1636	-1.09374	0.317079	340.832
309	-2.91297	-0.242692	1.45518	1	54	54	-0.387979	-9.84869	13.7579
310	-2.44208	-0.237568	1.29154	1	171	171	-0.460716	-3.86208	42.8421
311	-3.28943	-1.63215	1.51381	0.1	1	1	-1.16439	-0.879302	0.1
312	-1.51486	-0.182389	1.94269	1	1213	1213	-0.153487	0.273367	329.384
313	-1.52863	1.43718	2.14732	1	18424	18424	2.34708	3.74128	8097.02
314	-2.57877	-0.44004	2.51539	1	77	77	-0.402698	-7.50754	19.5632
315	-2.69035	0.0717563	1.43736	1	143	143	0.0667315	-4.02198	40.9579
316	-2.86002	1.09988	2.44258	1	1176	1176	-0.372297	0.160821	302.026
317	-2.02188	-0.881824	1.16632	1	100	100	-0.100894	-5.68379	27.4947
318	-1.35259	-1.45201	1.1261	1	113	113	-0.951194	-6.25757	24.4947
319	-2.80232	0.253764	2.27003	1	147	147	-0.0975258	-4.06654	40.4579
320	-2.25427	-1.52687	1.17059	0.994737	15	15	0.62783	-15.8663	4.94737
321	-1.697	-0.995711	2.41594	1	157	157	-0.0542482	-3.79527	43.6737
322	-2.07192	-0.586631	2.2821	1	220	220	-0.135167	-2.81227	59.9947
323	-2.99166	1.79217	1.87229	1	3427	3427	0.438907	1.64186	1067.03
324	-3.36002	-1.9649	1.34761	0.936842	12	12	-0.863893	-7.8136	2.56842
325	-1.40214	0.773851	1.38673	1	10644	10644	0.555096	2.8575	3397.02
326	-3.54614	-0.587751	2.47699	0.905263	6	6	0.780207	-3.10223	2.10526
327	-3.88161	-0.709645	2.53154	0.831579	9	9	-1.30564	-5.87706	1.57368
328	-3.44017	-0.382599	2.591	0.978947	10	10	0.329402	-15.0248	3.08421
329	-1.43212	-0.917457	2.8877	1	2147	2147	-0.0151384	1.00562	602.989
330	-2.12054	0.850067	1.97113	1	3672	3672	0.00267122	1.60949	1035.68
331	-3.73057	-0.441204	2.37821	0.6	3	3	-0.393412	-0.747874	0.721053
332	-3.31104	0.839949	2.32146	1	191	191	0.847566	-2.60291	64.8316
