Sim	LOG10_N_NOW	LOG10_MUTATION_RATE	N_NOW	MUTATION_RATE	H_1	S_1	prS_1	D_1	FS_1	Pi_1
95	5.06634	-7.21543	116502	6.0893e-08	0.994737	793	793	0.0527077	1.47047	226.337
96	5.63367	-6.02673	430202	9.40316e-07	1	17604	17604	2.19326	3.67118	7554.81
97	3.68462	-6.43496	4837	3.67316e-07	0.984211	283	283	-0.420002	1.53559	71.7263
98	4.87328	-8.85377	74693	1.40033e-09	0.621053	7	7	-1.33211	-1.77941	1.17368
99	4.87424	-8.86516	74858	1.36409e-09	0.889474	15	15	0.278708	-0.363374	4.54737
100	2.68459	-8.6594	483	2.1908e-09	0	0	0	0	0	0
101	4.00946	-7.71294	10220	1.9367e-08	0.915789	25	25	0.459973	-0.141324	7.88421
102	2.14472	-8.39269	139	4.04868e-09	0	0	0	0	0	0
103	5.93949	-7.08824	869936	8.16127e-08	1	9260	9260	1.54775	2.9092	3572.67
104	2.16773	-8.54526	147	2.84929e-09	0	0	0	0	0	0
105	2.58873	-8.67723	387	2.10267e-09	0	0	0	0	0	0
106	4.05733	-8.335	11411	4.6238e-09	0.731579	6	6	-0.24131	0.028314	1.56316
107	3.88749	-7.10185	7717	7.90945e-08	0.947368	71	71	-0.401097	-1.49155	18.0421
108	5.76234	-7.79045	578543	1.62015e-08	0.994737	995	995	-1.45039	1.08836	183.347
109	2.90533	-7.84233	804	1.43771e-08	0.1	1	1	-1.16439	-0.879302	0.1
110	2.34699	-8.36632	222	4.30205e-09	0	0	0	0	0	0
111	5.52428	-7.02201	334407	9.50593e-08	1	4265	4265	1.1891	2.03663	1542.87
112	3.20475	-8.66965	1602	2.13968e-09	0.394737	1	1	0.722614	0.976063	0.394737
113	5.62908	-8.74888	425672	1.78287e-09	0.952632	189	189	1.65717	5.78558	74.5474
114	2.89572	-8.39816	786	3.998e-09	0	0	0	0	0	0
115	3.40735	-6.86187	2554	1.37445e-07	0.926316	36	36	0.156212	0.0464451	10.5474
116	2.42989	-8.53541	269	2.91467e-09	0.442105	1	1	1.02588	1.16902	0.442105
117	2.92183	-8.2068	835	6.21157e-09	0	0	0	0	0	0
118	5.60196	-8.85722	399905	1.38925e-09	0.921053	94	94	0.361698	3.92188	28.8316
119	4.51504	-6.51896	32737	3.0272e-07	1	894	894	-1.01715	-0.483103	190.784
120	4.44802	-8.14283	28055	7.19735e-09	0.936842	25	25	-1.2022	-2.79728	4.85789
121	5.22076	-8.17286	166249	6.7165e-09	0.989474	102	102	0.657865	-1.55431	33.3526
122	3.05828	-7.33392	1143	4.63528e-08	0.568421	4	4	0.99703	2.31752	1.51579
123	4.85515	-8.25274	71638	5.58805e-09	0.963158	84	84	0.883535	1.7575	28.7895
124	4.75961	-8.06688	57492	8.57274e-09	0.889474	144	144	-0.925982	9.23745	31.5
125	5.79098	-7.09616	617983	8.01383e-08	1	5114	5114	-0.814168	1.73384	1161.79
126	5.29925	-7.44616	199181	3.57962e-08	0.994737	748	748	-0.889522	0.90686	166.032
127	4.77244	-7.62469	59216	2.37308e-08	1	192	192	-0.0761294	-3.16342	53.1263
128	2.02425	-7.9575	105	1.10282e-08	0	0	0	0	0	0
129	2.79425	-6.68466	622	2.06699e-07	0.905263	28	28	0.399288	0.980489	8.7
130	3.20779	-6.18816	1613	6.4839e-07	0.968421	166	166	0.668705	2.97713	54.3421
131	2.03397	-8.35524	108	4.41324e-09	0	0	0	0	0	0
132	4.15829	-6.41562	14397	3.84041e-07	0.989474	878	878	-0.80536	2.82569	199.884
133	3.2096	-8.28415	1620	5.19822e-09	0.521053	1	1	1.53133	1.46699	0.521053
134	5.82839	-6.25046	673578	5.61746e-07	1	14701	14701	1.01022	3.28075	5141.09
135	5.67571	-6.92551	473929	1.18711e-07	1	8463	8463	0.830693	2.67964	2857.62
136	4.85313	-6.25412	71305	5.57032e-07	1	2627	2627	0.369431	1.33343	805.689
137	3.75258	-7.6436	5656	2.27196e-08	0.889474	15	15	1.21123	0.317474	5.61579
138	3.54565	-7.91063	3512	1.22849e-08	0.884211	10	10	0.185752	-0.88534	2.96842
139	5.86488	-6.47175	732627	3.37483e-07	1	17377	17377	1.66151	3.5701	6836.89
140	2.41622	-7.3207	260	4.77863e-08	0.194737	2	2	-1.1407	-1.20637	0.289474
141	5.54057	-7.64354	347195	2.27224e-08	1	1170	1170	0.947445	0.53095	404.358
142	5.59466	-7.75632	393244	1.75257e-08	1	710	710	-0.78718	-0.732745	162.484
143	4.81687	-6.32234	65594	4.76058e-07	0.994737	4983	4983	0.589815	5.10565	1601.98
144	4.46116	-7.89301	28917	1.27936e-08	0.968421	80	80	0.833288	0.666486	27.1474
145	5.848	-7.01439	704693	9.67415e-08	1	6520	6520	0.933856	2.43064	2246.75
146	2.36198	-6.86326	230	1.37006e-07	0.563158	14	14	-1.59543	3.61147	2.22632
147	5.63234	-6.23848	428885	5.77464e-07	1	16865	16865	2.48072	3.67231	7563.24
148	4.28977	-6.33031	19488	4.67401e-07	1	2015	2015	0.724449	1.11949	666.089
149	5.35027	-6.56269	224013	2.7372e-07	1	5839	5839	-0.69149	1.91405	1374.63
150	2.67578	-7.94801	474	1.12717e-08	0.1	1	1	-1.16439	-0.879302	0.1
151	3.13146	-6.45854	1353	3.47904e-07	0.984211	61	61	-1.87984	-5.87834	9.22105
152	2.82794	-7.83607	672	1.45858e-08	0.352632	2	2	-0.812352	-0.7746	0.368421
153	4.99788	-7.88202	99512	1.31214e-08	0.984211	190	190	0.193935	0.878907	56.0579
154	4.47712	-8.16434	29999	6.84945e-09	0.894737	46	46	0.412575	4.07065	14.3
155	5.01688	-8.65947	103963	2.19041e-09	0.847368	35	35	-1.56271	0.517072	5.96842
156	4.92885	-6.5113	84887	3.08103e-07	1	3170	3170	-0.468951	1.31665	793.642
157	5.23912	-7.07977	173426	8.32211e-08	1	1958	1958	-0.194949	0.847309	526.242
158	5.38713	-8.11126	243854	7.73996e-09	1	419	419	-1.40797	-2.13571	78.2842
159	3.22734	-7.14281	1687	7.19771e-08	0.852632	10	10	0.851768	1.39764	3.50526
160	3.15607	-7.76249	1432	1.72787e-08	0.636842	3	3	1.20247	1.72844	1.22632
161	3.6042	-8.56602	4019	2.71634e-09	0.1	1	1	-1.16439	-0.879302	0.1
162	4.99027	-7.29521	97784	5.06751e-08	0.994737	493	493	0.579704	0.818348	158.237
163	3.63453	-6.40162	4310	3.96629e-07	0.989474	177	177	0.210726	-0.325676	52.4263
164	4.83323	-8.84949	68113	1.41419e-09	0.9	16	16	-0.580723	-0.942278	3.80526
165	4.81066	-8.95874	64663	1.09966e-09	0.847368	8	8	-0.0742742	-0.907639	2.20526
166	4.97537	-6.93699	94487	1.15613e-07	0.994737	1245	1245	-0.342041	2.1089	322.284
167	2.35412	-6.02836	226	9.36781e-07	0.915789	27	27	-1.28118	-1.64157	5.10526
168	5.31023	-8.83326	204280	1.46803e-09	0.915789	53	53	-1.81667	0.781108	8.21053
169	4.56949	-8.22424	37109	5.9671e-09	0.931579	28	28	-0.511416	-2.33797	6.85789
170	4.2711	-7.77609	18668	1.6746e-08	0.884211	21	21	0.36423	-0.00539351	6.48421
171	4.34288	-6.01132	22023	9.74261e-07	1	2855	2855	-0.25391	1.2624	756.026
172	2.31993	-7.35151	208	4.45132e-08	0.442105	1	1	1.02588	1.16902	0.442105
173	3.04328	-6.1625	1104	6.87866e-07	0.963158	118	118	-0.288612	0.18152	30.9316
174	5.85872	-7.98054	722297	1.04583e-08	0.994737	996	996	-0.143233	1.79663	271.142
175	4.04751	-6.88106	11155	1.31505e-07	0.994737	309	309	-0.463357	-0.590207	77.4158
176	2.72635	-6.6378	532	2.30249e-07	0.505263	14	14	-0.379717	3.87309	3.53684
177	2.43909	-8.53442	274	2.92133e-09	0	0	0	0	0	0
178	4.42728	-7.21441	26747	6.10366e-08	0.984211	166	166	-0.612935	-0.0266942	39.8684
179	5.03449	-8.35068	108265	4.45983e-09	0.963158	55	55	-1.18002	-1.4398	10.9737
180	4.24168	-6.91833	17445	1.20691e-07	0.989474	469	469	-0.493803	1.54495	116.574
181	4.92115	-7.91792	83397	1.20803e-08	0.957895	135	135	0.142298	1.84702	39.3632
182	4.8431	-7.96125	69679	1.09332e-08	0.968421	158	158	-0.511703	1.81896	39.0316
183	4.11116	-6.79204	12916	1.6142e-07	0.994737	343	343	1.72317	0.545059	136.621
184	4.99833	-8.21915	99617	6.03738e-09	0.973684	62	62	-0.083585	-1.67576	17.1158
185	3.51703	-6.29715	3288	5.04481e-07	0.984211	164	164	-0.316039	0.157936	42.7
186	3.32627	-6.09896	2119	7.96234e-07	0.984211	125	125	0.709735	0.068145	41.2947
187	2.42875	-7.25189	268	5.59893e-08	0.336842	1	1	0.351953	0.720808	0.336842
188	2.92366	-7.15905	838	6.9335e-08	0.731579	13	13	-0.407526	0.25312	3.25263
189	2.13956	-7.22288	137	5.9858e-08	0	0	0	0	0	0
190	5.84578	-6.5597	701098	2.75616e-07	1	14180	14180	1.55079	3.34448	5473.66
191	2.43002	-7.52439	269	2.98955e-08	0.278947	2	2	-1.1407	-1.20637	0.289474
192	3.959	-8.97368	9099	1.06247e-09	0.652632	3	3	1.7178	2.06666	1.38947
193	3.13386	-7.85055	1360	1.41076e-08	0.431579	3	3	-1.19135	-1.71291	0.468421
194	5.90757	-6.77316	808297	1.68594e-07	1	12730	12730	0.624114	3.05548	4121.75
195	3.85103	-8.72529	7096	1.8824e-09	0.505263	1	1	1.43024	1.4094	0.505263
196	3.22398	-7.85373	1674	1.40045e-08	0	0	0	0	0	0
197	5.51732	-6.99952	329097	1.00111e-07	1	3121	3121	-0.389113	1.32291	798.116
198	2.30561	-7.14388	202	7.17988e-08	0.821053	5	5	0.253949	-1.02408	1.52632
199	5.55615	-7.50816	359871	3.10341e-08	1	1352	1352	0.293719	0.541348	407.795
200	3.27432	-7.05849	1880	8.73998e-08	0.873684	23	23	-0.239663	0.577727	6.07895
201	5.64378	-7.88308	440330	1.30893e-08	0.989474	825	825	-0.641247	2.78918	196.926
202	3.5135	-6.90467	3262	1.24545e-07	0.931579	60	60	-0.134051	0.707973	16.3526
203	4.39524	-6.93084	24844	1.17263e-07	0.989474	346	346	0.341254	1.31474	105.505
204	3.1906	-8.697	1550	2.00908e-09	0.189474	1	1	-0.59155	-0.0965971	0.189474
205	5.48692	-8.32899	306843	4.68821e-09	0.994737	398	398	-0.0971459	0.122777	109.574
206	4.47322	-8.95097	29731	1.11951e-09	0.563158	3	3	-0.227174	-0.590579	0.773684
207	5.01473	-7.59345	103449	2.55005e-08	0.978947	373	373	0.175261	2.72125	109.553
208	3.55159	-7.95541	3561	1.10814e-08	0.778947	7	7	-0.376133	-0.645605	1.74737
209	3.92544	-8.86815	8422	1.35471e-09	0	0	0	0	0	0
210	3.07938	-6.27275	1200	5.33642e-07	0.984211	100	100	0.256584	-0.830376	29.9474
211	5.3878	-8.24309	244228	5.71362e-09	0.994737	182	182	-0.557936	-1.96753	44.4
212	5.76681	-6.80374	584531	1.5713e-07	1	12908	12908	1.92925	3.31376	5310.74
213	5.96002	-6.12221	912042	7.54722e-07	1	19356	19356	2.56436	3.82415	8789.01
214	4.35455	-7.77376	22623	1.6836e-08	0.921053	81	81	1.10358	3.94917	28.9947
215	5.93557	-7.37641	862124	4.20326e-08	1	3485	3485	-0.236176	1.48842	927.016
216	3.26401	-6.19833	1836	6.33393e-07	0.989474	175	175	-0.600379	-0.886122	42.1842
217	4.88258	-6.78667	76309	1.63428e-07	1	1401	1401	0.044585	0.514836	399.1
218	2.78052	-8.72651	603	1.87711e-09	0	0	0	0	0	0
219	4.95274	-8.9373	89689	1.15531e-09	0.810526	15	15	1.72573	3.6439	6.20526
220	4.4835	-6.1942	30444	6.39438e-07	1	2774	2774	0.0276363	1.30736	787.058
221	5.60716	-6.20117	404726	6.29263e-07	1	16047	16047	0.345707	3.23097	4895.7
222	3.88974	-7.33898	7757	4.58164e-08	0.889474	40	40	1.28843	1.21966	14.9211
223	2.97848	-8.83893	951	1.44902e-09	0	0	0	0	0	0
224	3.76155	-8.55827	5774	2.76525e-09	0.621053	5	5	-0.877309	-1.10114	1.00526
225	4.70729	-8.64858	50967	2.24607e-09	0.915789	31	31	0.285765	1.24322	9.37368
226	2.12027	-7.55913	131	2.75977e-08	0	0	0	0	0	0
227	4.05355	-6.66784	11312	2.14861e-07	0.994737	238	238	-0.676552	-1.33647	56.1737
228	3.32468	-6.06884	2111	8.53415e-07	0.989474	217	217	-0.0949392	-0.00573622	59.7684
229	4.60664	-7.0782	40424	8.35219e-08	0.994737	570	570	1.44792	1.38839	216.295
230	4.01325	-7.47706	10309	3.33379e-08	0.968421	36	36	0.0986694	-2.60396	10.4
231	5.80614	-8.16975	639935	6.76472e-09	1	1047	1047	-1.28272	-0.377857	204.753
232	3.92049	-6.19061	8327	6.44747e-07	1	608	608	0.725846	-0.404304	201.116
233	3.28752	-6.94392	1938	1.13784e-07	0.915789	31	31	-0.284402	-0.0496487	8.10526
234	4.17563	-8.39997	14984	3.98132e-09	0.889474	9	9	-0.28537	-2.70003	2.32632
235	2.89691	-7.99738	788	1.00604e-08	0.626316	3	3	0.803496	0.213586	1.1
236	5.63124	-7.99765	427802	1.00542e-08	0.989474	577	577	0.299986	2.49298	174.305
237	3.4685	-8.54189	2941	2.87154e-09	0	0	0	0	0	0
238	5.51606	-7.90003	328141	1.25885e-08	0.994737	727	727	0.0438957	1.30945	207.068
239	4.95567	-8.50705	90295	3.11135e-09	0.873684	69	69	-1.54666	1.30349	12.0579
240	3.60367	-8.96115	4014	1.09358e-09	0	0	0	0	0	0
241	3.23041	-6.15589	1699	6.98414e-07	0.984211	134	134	-0.697247	-0.692738	31.3947
242	5.62174	-7.57126	418540	2.68373e-08	1	2876	2876	0.854778	1.54463	975.847
243	4.35865	-8.88225	22837	1.31146e-09	0.684211	6	6	-0.211557	-0.928815	1.57895
244	3.81507	-6.64746	6532	2.25188e-07	0.973684	351	351	1.39286	4.91393	131.968
245	3.66359	-7.47069	4608	3.38308e-08	0.878947	21	21	-0.127788	0.378088	5.72105
246	4.18902	-7.38547	15453	4.11653e-08	0.942105	70	70	-0.120411	-0.412273	19.1474
247	5.18668	-8.13999	153703	7.24455e-09	0.973684	135	135	0.295426	1.96461	40.7737
248	2.10982	-7.29698	128	5.04687e-08	0.542105	4	4	1.25379	2.51054	1.61579
249	4.26328	-8.04081	18334	9.10309e-09	0.973684	33	33	-0.179191	-3.30926	8.87895
250	4.69863	-6.36611	49961	4.30417e-07	1	2552	2552	-0.979096	0.902	551.416
251	3.2591	-8.17179	1815	6.73307e-09	0.1	1	1	-1.16439	-0.879302	0.1
252	4.98531	-7.00838	96673	9.8089e-08	1	1208	1208	1.01601	0.586296	423.058
253	5.23816	-8.75391	173044	1.76235e-09	0.915789	38	38	0.24583	1.96544	11.3737
254	4.29943	-8.88858	19926	1.29248e-09	0.284211	3	3	-1.72331	-2.74926	0.3
255	2.7509	-8.12425	563	7.51194e-09	0.268421	1	1	-0.0861022	0.380606	0.268421
256	4.09314	-6.39756	12391	4.00347e-07	1	445	445	-0.862922	-1.61379	99.5211
257	2.89881	-6.01938	792	9.56362e-07	0.968421	89	89	0.151808	1.41	26.0158
258	5.84156	-7.75993	694327	1.73809e-08	0.994737	2189	2189	1.14357	3.74805	785.263
259	3.92032	-8.41964	8323	3.80502e-09	0.773684	5	5	0.985267	0.49422	1.86316
260	5.63603	-6.73739	432545	1.83069e-07	1	6567	6567	0.533777	2.35358	2086.48
261	2.47816	-8.32747	300	4.70473e-09	0.1	1	1	-1.16439	-0.879302	0.1
262	4.1014	-7.9612	12629	1.09344e-08	0.773684	30	30	1.57196	4.34595	11.8474
263	2.07772	-7.10478	119	7.85631e-08	0.189474	1	1	-0.59155	-0.0965971	0.189474
264	4.35116	-6.89025	22446	1.28752e-07	0.994737	307	307	-0.887411	-0.875352	68.1105
265	3.37266	-6.60904	2358	2.46011e-07	0.931579	122	122	0.0904266	4.92632	35.1421
266	5.16721	-6.89467	146962	1.27446e-07	0.994737	1710	1710	-0.202141	2.75149	458.758
267	5.90637	-8.673	806063	2.12325e-09	0.994737	108	108	-1.31039	-4.83773	20.7474
268	3.95866	-7.67963	9092	2.09108e-08	0.847368	22	22	1.22525	3.71285	8.18421
269	4.89334	-6.26432	78223	5.44103e-07	1	5073	5073	0.94475	2.1706	1751.87
270	4.06342	-8.47109	11572	3.37997e-09	0.805263	5	5	-0.317394	-1.56438	1.26316
271	4.23669	-8.21905	17246	6.03877e-09	0.868421	15	15	-0.99375	-1.64848	3.08947
272	5.5007	-7.01492	316734	9.66221e-08	1	3637	3637	0.21336	1.65224	1077.29
273	3.56092	-8.03077	3638	9.31602e-09	0.742105	5	5	-0.968724	-2.37742	0.963158
274	2.0513	-7.64878	112	2.245e-08	0	0	0	0	0	0
275	3.06896	-7.81285	1172	1.53868e-08	0.268421	1	1	-0.0861022	0.380606	0.268421
276	5.91954	-6.4123	830882	3.86993e-07	1	16614	16614	2.72881	3.69405	7727.47
277	5.90626	-6.36698	805853	4.29556e-07	1	16871	16871	0.566248	3.33013	5396.95
278	2.34465	-7.161	221	6.90238e-08	0.673684	2	2	1.15776	0.833985	0.842105
279	3.19792	-7.08802	1577	8.16545e-08	0.615789	11	11	-0.295643	1.7424	2.84211
280	2.69683	-7.89175	497	1.28306e-08	0	0	0	0	0	0
281	3.43478	-7.01111	2721	9.74741e-08	0.915789	33	33	0.0952089	0.488178	9.52632
282	4.08514	-8.96574	12165	1.08208e-09	0.1	1	1	-1.16439	-0.879302	0.1
283	4.93098	-8.21109	85305	6.15044e-09	0.957895	88	88	0.180052	1.39426	25.8947
284	5.96922	-7.31097	931579	4.8869e-08	1	6026	6026	0.00507392	2.13935	1700.6
285	4.41324	-7.08806	25896	8.16475e-08	0.984211	337	337	0.542807	1.35472	107.353
286	3.60212	-8.91098	4000	1.2275e-09	0.336842	2	2	0.457275	1.98499	0.673684
287	5.70485	-7.46012	506816	3.46638e-08	1	1775	1775	0.779377	0.986981	593.321
288	5.09728	-8.22908	125106	5.90091e-09	0.931579	53	53	-0.642908	-0.159407	12.5579
289	2.99046	-7.05697	978	8.77067e-08	0.752632	18	18	0.589333	4.78494	5.86842
290	3.04042	-7.78071	1097	1.65689e-08	0.394737	1	1	0.722614	0.976063	0.394737
291	3.32904	-6.14861	2133	7.10211e-07	0.989474	159	159	-1.55384	-2.11151	28
292	4.11617	-6.07875	13066	8.3416e-07	1	1112	1112	0.973845	0.474505	386.295
293	3.75316	-8.61348	5664	2.43509e-09	0	0	0	0	0	0
294	2.72196	-6.10448	527	7.86171e-07	0.968421	46	46	-1.37472	-3.50537	8.52105
295	3.50502	-8.31991	3199	4.78729e-09	0.542105	3	3	0.836744	1.47615	1.11053
